Date,Close/Last
01/19/2021,42.29
01/15/2021,41.96
01/14/2021,42.79
01/13/2021,42.52
01/12/2021,42.61
01/11/2021,42.54
01/08/2021,43.2
01/07/2021,43
01/06/2021,42.98
01/05/2021,42.3
01/04/2021,42.03
12/31/2020,41.72
12/30/2020,42.2
12/29/2020,42.18
12/28/2020,42.11
12/24/2020,41.82
12/23/2020,41.69
12/22/2020,41.1
12/21/2020,41.13
12/18/2020,42.1
12/17/2020,42.4
12/16/2020,41.99
12/15/2020,41.81
12/14/2020,41.22
12/11/2020,41.17
12/10/2020,41.49
12/09/2020,41.42
12/08/2020,41.58
12/07/2020,41.49
12/04/2020,41.72
12/03/2020,41.34
12/02/2020,41.37
12/01/2020,41.35
11/30/2020,40.33
11/27/2020,40.99
11/25/2020,40.69
11/24/2020,40.62
11/23/2020,39.99
11/20/2020,39.95
11/19/2020,40
11/18/2020,39.78
11/17/2020,40.03
11/16/2020,39.96
11/13/2020,39.64
11/12/2020,39.06
11/11/2020,39.72
11/10/2020,39.51
11/09/2020,38.8
11/06/2020,36.95
11/05/2020,36.84
11/04/2020,35.77
11/03/2020,35.33
11/02/2020,34.21
10/30/2020,33.59
10/29/2020,33.7
10/28/2020,33.61
10/27/2020,35.07
10/26/2020,35.69
10/23/2020,36.91
10/22/2020,36.52
10/21/2020,36.54
10/20/2020,37.02
10/19/2020,36.73
10/16/2020,36.92
10/15/2020,36.54
10/14/2020,37.16
10/13/2020,37.35
10/12/2020,37.89
10/09/2020,37.61
10/08/2020,37.28
10/07/2020,36.98
10/06/2020,36.6
10/05/2020,37.06
10/02/2020,36.38
10/01/2020,36.49
09/30/2020,36.35
09/29/2020,36.61
09/28/2020,36.54
09/25/2020,35.76
09/24/2020,35.85
09/23/2020,35.72
09/22/2020,36.29
09/21/2020,36.41
09/18/2020,37.95
09/17/2020,38.37
09/16/2020,38.25
09/15/2020,38.51
09/14/2020,38.29
09/11/2020,38.23
09/10/2020,37.89
09/09/2020,38.36
09/08/2020,37.38
09/04/2020,38.05
09/03/2020,38.01
09/02/2020,38.91
09/01/2020,38.14
08/31/2020,38.1
08/28/2020,38.62
08/27/2020,38.33
08/26/2020,38.85
08/25/2020,38.54
08/24/2020,38.35
08/21/2020,37.6
08/20/2020,37.99
08/19/2020,38.21
08/18/2020,38.26
08/17/2020,38.32
08/14/2020,38.12
08/13/2020,38.44
08/12/2020,38.73
08/11/2020,37.82
08/10/2020,37.55
08/07/2020,37.57
08/06/2020,37.77
08/05/2020,37.73
08/04/2020,37.52
08/03/2020,37.32
07/31/2020,36.55
07/30/2020,37.38
07/29/2020,38.11
07/28/2020,37.67
07/27/2020,37.94
07/24/2020,37.55
07/23/2020,37.83
07/22/2020,38.21
07/21/2020,38.08
07/20/2020,37.93
07/17/2020,37.66
07/16/2020,37.49
07/15/2020,37.6
07/14/2020,37.1
07/13/2020,36.47
07/10/2020,36.53
07/09/2020,36.1
07/08/2020,36.61
07/07/2020,36.28
07/06/2020,36.93
07/02/2020,36.19
07/01/2020,35.54
06/30/2020,35.53
06/29/2020,35.48
06/26/2020,34.94
06/25/2020,35.58
06/24/2020,35.04
06/23/2020,36.05
06/22/2020,35.66
06/19/2020,35.47
06/18/2020,35.7
06/17/2020,35.88
06/16/2020,35.74
06/15/2020,35.26
06/12/2020,34.93
06/11/2020,34.33
06/10/2020,36.66
06/09/2020,36.88
06/08/2020,37.61
06/05/2020,37.19
06/04/2020,36.12
06/03/2020,36.06
06/02/2020,34.68
06/01/2020,34.03
05/29/2020,33.36
05/28/2020,33.27
05/27/2020,32.96
05/26/2020,32.09
05/22/2020,31.18
05/21/2020,31.23
05/20/2020,31.53
05/19/2020,30.74
05/18/2020,31.17
05/15/2020,29.5
05/14/2020,29.43
05/13/2020,29.62
05/12/2020,30.18
05/11/2020,30.63
05/08/2020,30.82
05/07/2020,30.31
05/06/2020,29.77
05/05/2020,30.18
05/04/2020,30.24
05/01/2020,30.38
04/30/2020,31.07
04/29/2020,31.69
04/28/2020,30.63
04/27/2020,30.46
04/24/2020,29.87
04/23/2020,29.54
04/22/2020,29.86
04/21/2020,29.53
04/20/2020,30.3
04/17/2020,30.7
04/16/2020,29.63
04/15/2020,29.76
04/14/2020,31.13
04/13/2020,30.53
04/09/2020,30.9
04/08/2020,30.14
04/07/2020,29.8
04/06/2020,29.64
04/03/2020,27.94
04/02/2020,28.42
04/01/2020,28.01
03/31/2020,29.51
03/30/2020,29.81
03/27/2020,29.33
03/26/2020,30.54
03/25/2020,29.31
03/24/2020,28.26
03/23/2020,25.83
03/20/2020,25.63
03/19/2020,25.56
03/18/2020,25.19
03/17/2020,27.29
03/16/2020,25.95
03/13/2020,29.31
03/12/2020,27.6
03/11/2020,31.53
03/10/2020,33.33
03/09/2020,32.31
03/06/2020,35.64
03/05/2020,36.3
03/04/2020,37.57
03/03/2020,36.25
03/02/2020,36.75
02/28/2020,35.97
02/27/2020,36.26
02/26/2020,37.32
02/25/2020,37.31
02/24/2020,38.29
02/21/2020,40.02
02/20/2020,40.28
02/19/2020,40.52
02/18/2020,40.31
02/14/2020,40.49
